latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
45.034935,-73.895165,015,029,6838,2333,2025-01-24,1545,L9,H,D
45.035202,-73.894779,015,029,6839,2332,2025-01-24,1545,L9,H,D
45.035205,-73.895159,015,029,6838,2332,2025-01-24,1545,L9,H,D
45.035472,-73.894773,015,029,6839,2331,2025-01-24,1545,L9,H,D
45.035475,-73.895154,015,029,6838,2331,2025-01-24,1545,L9,L,D
45.037669,-73.89854,015,029,6829,2323,2025-01-24,1545,L9,H,D
45.037939,-73.898535,015,029,6829,2322,2025-01-24,1545,L9,H,D
45.14888,-76.049536,015,029,1187,1913,2025-01-24,1545,L9,L,D
45.189314,-73.659606,015,029,7447,1752,2025-01-24,1545,L9,H,D
45.229023,-74.338923,015,029,5667,1627,2025-01-24,1545,L9,L,D
45.241753,-74.573858,015,029,5052,1584,2025-01-24,1545,L9,H,D
45.274062,-75.571848,015,029,2442,1462,2025-01-24,1545,L9,H,D
45.274064,-75.571466,015,029,2443,1462,2025-01-24,1545,L9,H,D
45.274334,-75.571468,015,029,2443,1461,2025-01-24,1545,L9,H,D
45.274336,-75.571086,015,029,2444,1461,2025-01-24,1545,L9,H,D
45.274608,-75.570706,015,029,2445,1460,2025-01-24,1545,L9,H,D
45.27488,-75.570327,015,029,2446,1459,2025-01-24,1545,L9,H,D
45.27515,-75.570329,015,029,2446,1458,2025-01-24,1545,L9,L,D
45.304388,-74.99241,015,029,3957,1355,2025-01-24,1545,L9,H,D
45.304388,-74.992028,015,029,3958,1355,2025-01-24,1545,L9,H,D
37.970761,-76.630613,015,033,4633,7423,2025-01-24,1546,L9,L,D
38.217628,-77.924112,015,033,874,6417,2025-01-24,1546,L9,M,D
38.25032,-77.387604,015,033,2443,6341,2025-01-24,1546,L9,H,D
38.313382,-78.027785,015,033,583,6053,2025-01-24,1546,L9,L,D
38.313652,-78.027796,015,033,583,6052,2025-01-24,1546,L9,H,D
38.316537,-76.688428,015,033,4487,6141,2025-01-24,1546,L9,L,D
38.319468,-76.574911,015,033,4818,6136,2025-01-24,1546,L9,M,D
38.338443,-76.422917,015,033,5262,6073,2025-01-24,1546,L9,H,D
38.478686,-76.870004,015,033,3970,5531,2025-01-24,1546,L9,H,D
38.478956,-76.870011,015,033,3970,5530,2025-01-24,1546,L9,H,D
38.510311,-77.078627,015,033,3366,5401,2025-01-24,1546,L9,H,D
38.661345,-76.084833,015,033,6261,4892,2025-01-24,1546,L9,L,D
38.666941,-76.962471,015,033,3716,4829,2025-01-24,1546,L9,H,D
38.749986,-78.065138,015,033,528,4434,2025-01-24,1546,L9,H,D
38.749995,-78.064794,015,033,529,4434,2025-01-24,1546,L9,H,D
38.84853,-77.278552,015,033,2816,4136,2025-01-24,1546,L9,H,D
38.854285,-77.939998,015,033,903,4060,2025-01-24,1546,L9,L,D
38.862025,-77.061519,015,033,3445,4101,2025-01-24,1546,L9,H,D
38.862031,-77.061173,015,033,3446,4101,2025-01-24,1546,L9,H,D
38.862301,-77.061181,015,033,3446,4100,2025-01-24,1546,L9,H,D
38.88969,-77.740187,015,033,1485,3947,2025-01-24,1546,L9,L,D
38.889698,-77.739842,015,033,1486,3947,2025-01-24,1546,L9,H,D
38.88996,-77.740198,015,033,1485,3946,2025-01-24,1546,L9,L,D
38.889968,-77.739852,015,033,1486,3946,2025-01-24,1546,L9,L,D
38.891124,-77.127039,015,033,3258,3989,2025-01-24,1546,L9,H,D
38.915976,-76.909109,015,033,3890,3911,2025-01-24,1546,L9,H,D
38.917861,-77.098427,015,033,3343,3892,2025-01-24,1546,L9,L,D
38.943645,-77.812522,015,033,1282,3741,2025-01-24,1546,L9,M,D
38.943654,-77.812176,015,033,1283,3741,2025-01-24,1546,L9,H,D
38.943915,-77.812532,015,033,1282,3740,2025-01-24,1546,L9,H,D
38.943924,-77.812186,015,033,1283,3740,2025-01-24,1546,L9,H,D
38.944185,-77.812543,015,033,1282,3739,2025-01-24,1546,L9,H,D
38.944194,-77.812197,015,033,1283,3739,2025-01-24,1546,L9,H,D
39.043494,-77.585654,015,033,1948,3391,2025-01-24,1546,L9,L,D
39.070318,-76.503039,015,033,5073,3362,2025-01-24,1546,L9,H,D
39.10703,-77.145311,015,033,3224,3189,2025-01-24,1546,L9,H,D
39.140054,-77.352828,015,033,2629,3052,2025-01-24,1546,L9,H,D
39.140061,-77.352481,015,033,2630,3052,2025-01-24,1546,L9,L,D
39.140324,-77.352837,015,033,2629,3051,2025-01-24,1546,L9,H,D
39.145924,-76.154721,015,033,6081,3097,2025-01-24,1546,L9,H,D
39.145928,-76.154374,015,033,6082,3097,2025-01-24,1546,L9,H,D
39.157888,-77.782159,015,033,1394,2951,2025-01-24,1546,L9,M,D
39.15815,-77.782516,015,033,1393,2950,2025-01-24,1546,L9,L,D
39.158158,-77.782169,015,033,1394,2950,2025-01-24,1546,L9,L,D
39.168517,-77.709666,015,033,1604,2918,2025-01-24,1546,L9,L,D
39.168525,-77.709319,015,033,1605,2918,2025-01-24,1546,L9,H,D
39.168787,-77.709677,015,033,1604,2917,2025-01-24,1546,L9,H,D
39.168795,-77.70933,015,033,1605,2917,2025-01-24,1546,L9,H,D
39.172535,-77.604612,015,033,1907,2912,2025-01-24,1546,L9,H,D
39.172543,-77.604265,015,033,1908,2912,2025-01-24,1546,L9,L,D
39.172805,-77.604622,015,033,1907,2911,2025-01-24,1546,L9,H,D
39.175707,-77.748833,015,033,1492,2888,2025-01-24,1546,L9,L,D
